id, prediction
200001,1
200002,0
200003,1
200004,1
200005,0
200006,1
200007,0
200008,1
200009,1
200010,0
200011,1
200012,1
200013,1
200014,1
200015,1
200016,0
200017,0
200018,0
200019,1
200020,1
200021,1
200022,0
200023,0
200024,1
200025,1
200026,1
200027,1
200028,1
200029,1
200030,0
200031,1
200032,1
200033,1
200034,1
200035,0
200036,0
200037,0
200038,1
200039,0
200040,1
200041,1
200042,1
200043,1
200044,0
200045,1
200046,0
200047,1
200048,0
200049,0
200050,1
200051,1
200052,1
200053,0
200054,1
200055,0
200056,1
200057,1
200058,1
200059,1
200060,1
200061,0
200062,1
200063,0
200064,1
200065,1
200066,0
200067,0
200068,1
200069,0
200070,0
200071,0
200072,1
200073,0
200074,0
200075,1
200076,1
200077,0
200078,0
200079,1
200080,1
200081,1
200082,1
200083,0
200084,1
200085,1
200086,1
200087,1
200088,1
200089,1
200090,0
200091,1
200092,0
200093,1
200094,1
200095,0
200096,0
200097,0
200098,1
200099,0
200100,1
200101,1
200102,0
200103,0
200104,1
200105,0
200106,1
200107,0
200108,1
200109,1
200110,0
200111,1
200112,0
200113,0
200114,0
200115,0
200116,1
200117,0
200118,1
200119,1
200120,0
200121,0
200122,1
200123,0
200124,1
200125,0
200126,0
200127,0
200128,0
200129,1
200130,0
200131,1
200132,1
200133,0
200134,0
200135,0
200136,0
200137,1
200138,0
200139,0
200140,0
200141,1
200142,0
200143,1
200144,1
200145,0
200146,0
200147,0
200148,0
200149,1
200150,0
200151,1
200152,0
200153,0
200154,1
200155,1
200156,0
200157,0
200158,0
200159,1
200160,0
200161,1
200162,0
200163,0
200164,0
200165,1
200166,1
200167,0
200168,1
200169,1
200170,0
200171,0
200172,1
200173,0
200174,0
200175,0
200176,1
200177,1
200178,1
200179,0
200180,0
200181,1
200182,0
200183,0
200184,1
200185,1
200186,0
200187,1
200188,0
200189,0
200190,0
200191,1
200192,0
200193,1
200194,0
200195,0
200196,1
200197,0
200198,0
200199,0
200200,1
200201,1
200202,1
200203,1
200204,1
200205,0
200206,1
200207,0
200208,1
200209,0
200210,1
200211,1
200212,0
200213,1
200214,1
200215,0
200216,0
200217,1
200218,1
200219,1
200220,1
200221,1
200222,1
200223,0
200224,1
200225,1
200226,1
200227,0
200228,0
200229,0
200230,0
200231,1
200232,1
200233,1
200234,0
200235,0
200236,1
200237,1
200238,0
200239,1
200240,1
200241,0
200242,1
200243,0
200244,0
200245,1
200246,1
200247,0
200248,0
200249,1
200250,1
200251,0
200252,0
200253,1
200254,1
200255,1
200256,1
200257,1
200258,0
200259,0
200260,0
200261,0
200262,1
200263,1
200264,1
200265,0
200266,0
200267,1
200268,0
200269,1
200270,0
200271,0
200272,0
200273,0
200274,1
200275,0
200276,0
200277,0
200278,0
200279,0
200280,0
200281,1
200282,1
200283,1
200284,0
200285,1
200286,1
200287,1
200288,0
200289,0
200290,0
200291,1
200292,1
200293,1
200294,1
200295,0
200296,0
200297,0
200298,1
200299,1
200300,0
200301,1
200302,1
200303,0
200304,1
200305,1
200306,1
200307,1
200308,0
200309,0
200310,1
200311,0
200312,0
200313,0
200314,0
200315,1
200316,0
200317,1
200318,1
200319,0
200320,0
200321,1
200322,0
200323,0
200324,1
200325,1
200326,1
200327,0
200328,0
200329,0
200330,0
200331,0
200332,1
200333,1
200334,1
200335,1
200336,1
200337,0
200338,1
200339,1
200340,1
200341,1
200342,0
200343,1
200344,0
200345,1
200346,0
200347,0
200348,1
200349,0
200350,1
200351,1
200352,0
200353,1
200354,1
200355,0
200356,1
200357,1
200358,1
200359,0
200360,0
200361,0
200362,0
200363,0
200364,0
200365,1
200366,1
200367,0
200368,1
200369,0
200370,0
200371,0
200372,0
200373,0
200374,1
200375,0
200376,0
200377,0
200378,1
200379,0
200380,1
200381,0
200382,0
200383,0
200384,1
200385,0
200386,1
200387,1
200388,0
200389,1
200390,0
200391,0
200392,1
200393,1
200394,1
200395,1
200396,1
200397,1
200398,1
200399,0
200400,0
200401,0
200402,1
200403,0
200404,0
200405,1
200406,0
200407,1
200408,1
200409,1
200410,0
200411,1
200412,1
200413,1
200414,0
200415,1
200416,1
200417,0
200418,1
200419,0
200420,0
200421,0
200422,1
200423,1
200424,1
200425,1
200426,1
200427,1
200428,1
200429,0
200430,1
200431,0
200432,1
200433,1
200434,1
200435,0
200436,0
200437,0
200438,1
200439,0
200440,1
200441,1
200442,1
200443,0
200444,0
200445,1
200446,1
200447,1
200448,0
200449,1
200450,1
200451,0
200452,0
200453,1
200454,1
200455,0
200456,1
200457,0
200458,1
200459,1
200460,0
200461,1
200462,1
200463,0
200464,0
200465,0
200466,0
200467,1
200468,1
200469,0
200470,0
200471,0
200472,0
200473,1
200474,1
200475,0
200476,1
200477,0
200478,1
200479,0
200480,0
200481,1
200482,0
200483,0
200484,1
200485,1
200486,0
200487,0
200488,1
200489,0
200490,1
200491,1
200492,0
200493,0
200494,1
200495,1
200496,0
200497,0
200498,1
200499,1
200500,0
200501,1
200502,1
200503,0
200504,1
200505,1
200506,0
200507,1
200508,1
200509,0
200510,0
200511,0
200512,0
200513,0
200514,1
200515,0
200516,1
200517,1
200518,1
200519,0
200520,0
200521,0
200522,0
200523,0
200524,1
200525,0
200526,1
200527,0
200528,0
200529,0
200530,0
200531,1
200532,0
200533,1
200534,0
200535,0
200536,0
200537,0
200538,0
200539,0
200540,1
200541,0
200542,1
200543,1
200544,1
200545,1
200546,1
200547,0
200548,0
200549,1
200550,1
200551,0
200552,0
200553,0
200554,1
200555,1
200556,0
200557,1
200558,1
200559,0
200560,0
200561,1
200562,0
200563,1
200564,0
200565,0
200566,0
200567,1
200568,0
200569,0
200570,0
200571,1
200572,1
200573,1
200574,0
200575,1
200576,0
200577,0
200578,1
200579,1
200580,0
200581,1
200582,1
200583,0
200584,0
200585,1
200586,0
200587,0
200588,0
200589,1
200590,1
200591,0
